Fact_Budgets_PK,Season,Season_FK,Flowtype,Budget_sub_category,Fundig_Source,Budget_date,Budget_date_FK,Amount,Scouts_origin,Participants_Camp_by_season,Duration_Days_Camp_by_season,scd_start,scd_end,scd_version,scd_active
12,2024-2025,2,Cash,Insurance And Treatment,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
13,2024-2025,2,Cash,Salaries,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
14,2024-2025,2,Cash,Educational Equipment,Expenditure,22-07-2024,20240722,64000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
15,2024-2025,2,Cash,Trips,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
16,2024-2025,2,Cash,Equipment,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
17,2024-2025,2,Cash,Transport,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
18,2024-2025,2,Cash,Food,Expenditure,22-07-2024,20240722,0,Grombalia,205,23,2026-04-06 05:00:23.660,NULL,9,1
19,2024-2025,2,Cheque,Different,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
20,2024-2025,2,Cheque,Medias,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
21,2024-2025,2,Cheque,Insurance And Treatment,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
22,2024-2025,2,Cheque,Salaries,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
23,2024-2025,2,Cheque,Educational Equipment,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
24,2024-2025,2,Cheque,Trips,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
25,2024-2025,2,Cheque,Equipment,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
26,2024-2025,2,Cheque,Transport,Expenditure,18-08-2024,20240818,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
27,2024-2025,2,Cheque,Food,Expenditure,18-08-2024,20240818,121556,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
28,2024-2025,2,Cash,Different,Expenditure,19-08-2024,20240819,11900,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
29,2024-2025,2,Cash,Medias,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
30,2024-2025,2,Cash,Insurance And Treatment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
31,2024-2025,2,Cash,Salaries,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
32,2024-2025,2,Cash,Educational Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,5,0
33,2024-2025,2,Cash,Trips,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,6,0
34,2024-2025,2,Cash,Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,7,0
35,2024-2025,2,Cash,Transport,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,8,0
36,2024-2025,2,Cash,Food,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,9,0
37,2024-2025,2,Cash,Different,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,10,0
38,2024-2025,2,Cash,Medias,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,11,0
39,2024-2025,2,Cash,Insurance And Treatment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,12,0
40,2024-2025,2,Cash,Salaries,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,13,0
41,2024-2025,2,Cash,Educational Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,14,0
42,2024-2025,2,Cash,Trips,Expenditure,19-08-2024,20240819,180000,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,15,0
43,2024-2025,2,Cash,Equipment,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,16,0
44,2024-2025,2,Cash,Transport,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,17,0
45,2024-2025,2,Cash,Food,Expenditure,19-08-2024,20240819,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,18,0
46,2024-2025,2,Cash,Different,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,1,0
47,2024-2025,2,Cash,Medias,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,2,0
48,2024-2025,2,Cash,Insurance And Treatment,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,3,0
49,2024-2025,2,Cash,Salaries,Expenditure,14-08-2024,20240814,0,Grombalia,205,23,2026-04-06 05:00:23.660,2026-04-06 05:00:23.660,4,0
